iter	Passed	Remaining
0	34	34926
1	66	33056
2	97	32424
3	128	31896
4	159	31665
5	189	31471
6	221	31376
7	250	31047
8	281	30976
9	312	30916
10	344	30969
11	377	31102
12	407	30961
13	439	30939
14	469	30815
15	499	30691
16	528	30553
17	559	30528
18	589	30423
19	616	30223
20	647	30195
21	696	30972
22	770	32718
23	819	33310
24	860	33553
25	911	34151
26	1060	38201
27	1185	41153
28	1342	44951
29	1427	46144
30	1508	47161
31	1645	49788
32	1768	51827
33	1885	53566
34	1953	53862
35	2012	53891
36	2124	55303
37	2190	55444
38	2247	55391
39	2293	55053
40	2353	55046
41	2520	57481
42	2610	58100
43	2672	58058
44	2713	57584
45	2802	58114
46	2839	57582
47	2878	57094
48	2918	56647
49	2957	56183
50	3003	55882
51	3041	55456
52	3101	55422
53	3235	56680
54	3300	56700
55	3351	56501
56	3389	56080
57	3431	55725
58	3469	55334
59	3703	58020
60	3788	58316
61	3856	58346
62	3926	58401
63	4004	58569
64	4064	58459
65	4105	58098
66	4163	57984
67	4216	57786
68	4263	57520
69	4302	57164
70	4347	56879
71	4386	56540
72	4439	56380
73	4495	56255
74	4549	56109
75	4600	55936
76	4636	55572
77	4672	55237
78	4709	54905
79	4745	54569
80	4790	54354
81	4832	54104
82	4878	53902
83	4917	53624
84	4959	53384
85	5005	53199
86	5064	53151
87	5105	52910
88	5141	52623
89	5176	52339
90	5223	52173
91	5262	51942
92	5306	51754
93	5348	51548
94	5389	51344
95	5429	51126
96	5473	50956
97	5508	50703
98	5572	50715
99	5611	50502
100	5657	50352
101	5696	50150
102	5737	49966
103	5773	49737
104	5805	49481
105	5836	49227
106	5871	49000
107	5902	48752
108	5933	48502
109	5961	48232
110	5991	47983
111	6024	47766
112	6056	47539
113	6085	47299
114	6117	47078
115	6147	46851
116	6178	46627
117	6217	46475
118	6255	46311
119	6289	46120
120	6319	45910
121	6351	45713
122	6383	45517
123	6413	45310
124	6445	45121
125	6473	44901
126	6503	44703
127	6535	44520
128	6566	44334
129	6600	44170
130	6631	43990
131	6670	43860
132	6714	43773
133	6752	43639
134	6794	43532
135	6827	43373
136	6854	43180
137	6892	43052
138	6919	42860
139	6950	42697
140	6980	42524
141	7011	42365
142	7042	42208
143	7079	42082
144	7112	41940
145	7144	41793
146	7174	41630
147	7205	41480
148	7237	41333
149	7280	41253
150	7314	41128
151	7355	41038
152	7410	41025
153	7459	40979
154	7491	40840
155	7542	40807
156	7639	41022
157	7732	41205
158	7781	41157
159	7826	41089
160	7876	41044
161	7926	41001
162	7970	40929
163	8020	40885
164	8066	40823
165	8115	40771
166	8154	40675
167	8195	40588
168	8230	40472
169	8267	40363
170	8300	40239
171	8326	40083
172	8361	39973
173	8398	39867
174	8438	39782
175	8478	39692
176	8516	39598
177	8559	39528
178	8598	39439
179	8631	39323
180	8663	39202
181	8696	39086
182	8734	38994
183	8777	38924
184	8813	38826
185	8848	38725
186	8884	38624
187	8920	38526
188	8953	38419
189	8985	38308
190	9018	38200
191	9051	38090
192	9083	37980
193	9114	37869
194	9143	37746
195	9173	37631
196	9202	37510
197	9235	37410
198	9267	37303
199	9298	37193
200	9326	37072
201	9353	36950
202	9387	36857
203	9414	36736
204	9443	36623
205	9476	36525
206	9509	36431
207	9558	36396
208	9599	36329
209	9642	36274
210	9687	36223
211	9731	36171
212	9776	36123
213	9815	36052
214	9857	35992
215	9892	35907
216	9930	35831
217	9962	35735
218	9996	35647
219	10034	35576
220	10069	35494
221	10103	35407
222	10144	35345
223	10277	35604
224	10339	35614
225	10370	35515
226	10403	35425
227	10438	35344
228	10473	35260
229	10504	35168
230	10534	35069
231	10563	34970
232	10591	34865
233	10621	34768
234	10651	34673
235	10688	34600
236	10739	34573
237	10779	34511
238	10809	34419
239	10845	34345
240	10881	34269
241	10922	34212
242	10957	34135
243	10992	34058
244	11038	34017
245	11075	33947
246	11106	33858
247	11139	33776
248	11174	33702
249	11208	33626
250	11251	33574
251	11288	33507
252	11334	33466
253	11368	33388
254	11403	33317
255	11438	33242
256	11470	33161
257	11501	33079
258	11535	33002
259	11567	32923
260	11598	32839
261	11629	32757
262	11660	32675
263	11692	32598
264	11730	32534
265	11766	32467
266	11798	32389
267	11831	32315
268	11862	32235
269	11893	32156
270	11921	32070
271	11950	31985
272	11980	31903
273	12009	31820
274	12048	31764
275	12093	31724
276	12155	31726
277	12196	31676
278	12231	31609
279	12264	31536
280	12298	31468
281	12327	31387
282	12366	31330
283	12396	31252
284	12430	31184
285	12461	31110
286	12493	31037
287	12525	30966
288	12557	30894
289	12595	30838
290	12639	30794
291	12680	30745
292	12719	30692
293	12759	30639
294	12795	30578
295	12838	30534
296	12877	30480
297	12913	30421
298	12956	30376
299	12989	30307
300	13022	30242
301	13055	30175
302	13085	30101
303	13120	30038
304	13162	29993
305	13199	29936
306	13237	29882
307	13272	29819
308	13304	29751
309	13333	29678
310	13362	29604
311	13391	29529
312	13421	29457
313	13457	29401
314	13496	29348
315	13528	29282
316	13560	29218
317	13595	29158
318	13632	29103
319	13677	29064
320	13724	29031
321	13775	29006
322	13809	28943
323	13844	28886
324	13887	28843
325	13940	28822
